"Tipo de producto","Marca","Nombre de Fantasía","Denominación de venta","RNPA"
"Aceites","Abedul","No registra","Aceite de maíz, libre de gluten, sin TACC","02-508542"
"Aceites","Abremundos","Aznar Pelleriti","Aceite de oliva virgen extra - Libre de gluten","13043077"
"Aceites","Almalegre","No registra","Aceite de oliva virgen extra orgánico - Libre de gluten","13043915"
"Aceites","Almalegre","No registra","Aceite de oliva virgen extra - Libre de gluten","13043916"
"Aceites","Alsamar","No registra","Aceite de girasol libre de gluten","21-004564"
"Aceites","Arcor","No registra","Aceite de maíz-libre de gluten","02-524255"
"Aceites","Auka - Premium","No registra","Aceite de oliva virgen extra - Libre de gluten","13040993"
"Aceites","Cada Día","No registra","Aceite de girasol - Libre de gluten","4060318"
"Aceites","Cada Día","No registra","Aceite comestible mezcla - Libre de gluten","4060323"
"Aceites","Cada Día","No registra","Aceite de girasol alto oleico - Libre de gluten","4060502"
"Aceites","Castel-Monte","No registra","Aceite de oliva virgen calidad extra - Libre de gluten","13034464"
"Aceites","Cleo","No registra","Aceite comestible mezcla (94 % soja y 6 % girasol) - Libre de gluten","02-583038"
"Aceites","Cocinero","Maíz Plus","Aceite de maíz fortificado con vitamina E libre de gluten","21-102170"
"Aceites","Cocinero","No registra","Aceite comestible mezcla libre de gluten","21-099460"
"Aceites","Cocinero","No registra","Aceite de girasol libre de gluten","21-093402"
"Aceites","Cocinero","No registra","Aceite comestible mezcla libre de gluten","21-093403"
"Aceites","Cocinero","No registra","Aceite de maíz libre de gluten","21-093405"
"Aceites","Cocinero","No registra","Aceite comestible mezcla. Libre de gluten.","21-097019"
"Aceites","Cocinero","No registra","Aceite comestible mezcla libre de gluten","21-097330"
"Aceites","Cocinero alto rendimiento","No registra","Aceite de girasol medio oleico libre de gluten","21-105131"
"Aceites","Cocinero Fritolim","No registra","Antiadherente a base de aceite de girasol en aerosol libre de gluten","21-101553"
"Aceites","Cocinero Fritolim","No registra","Antiadherente a base de aceite de girasol sabor manteca en aerosol libre de gluten","21-101643"
"Aceites","Cocinero Fritolim","No registra","Antiadherente a base de aceite de oliva en aerosol libre de gluten","21-101644"
"Aceites","Copisi","No registra","Aceite comestible mezcla - Libre de gluten","4060322"
"Aceites","Corazón","No registra","Aceite de maíz - Libre de gluten","02-553556"
"Aceites","Corazón","No registra","Aceite de girasol, libre de gluten","02-568281"
"Aceites","Corazón","No registra","Aceite de oliva, libre de gluten","02-568282"
"Aceites","Costa del sol","No registra","Aceite de maíz. Libre de gluten","21-059474"
"Aceites","Día %","No registra","Aceite de girasol - Libre de gluten","02-532521"
"Aceites","Día %","Día %","Aceite de canola virgen libre de gluten","025/08002581-3-7/028"
"Aceites","Ecoop","No registra","Aceite de girasol con alto contenido oleico - Libre de gluten","02-500542"
"Aceites","Ecoop","Ecoop","Aceite de canola virgen. Libre de gluten","025/08002581-3-7/031"
"Aceites","El Malevo","Blend","Aceite de oliva virgen extra - Libre de gluten","13044327"
"Aceites","El Malevo","Frantoio","Aceite de oliva virgen extra - Libre de gluten","13044326"
"Aceites","Epu Antu","No registra","Aceite de oliva virgen extra - Libre de gluten","02-583504"
"Aceites","Estampa","No registra","Aceite de girasol con alto contenido de acido oleico - Libre de gluten","02-589763"
"Aceites","Familia Zuccardi","No registra","Aceite de oliva virgen extra - Libre de gluten","13031147"
"Aceites","Familiar","No registra","Aceite comestible mezcla - Libre de gluten","4060319"
"Aceites","Finca 1883","No registra","Aceite de oliva virgen extra - Libre de gluten","13041975"
"Aceites","Finca 1883","No registra","Aceite de oliva virgen extra - Libre de gluten","13042072"
"Aceites","Finca 1883","No registra","Aceite de oliva virgen extra - Libre de gluten","13042073"
"Aceites","Finca Lecumberri","No registra","Aceite de oliva virgen extra - Libre de gluten","13040743"
"Aceites","Finca Lecumberri","No registra","Aceite de oliva virgen extra - Libre de gluten","13043040"
"Aceites","Finca Lecumberri","No registra","Aceite de oliva virgen extra - Libre de gluten","13043041"
"Aceites","Finca Lecumberri","No registra","Aceite de oliva virgen extra - Libre de gluten","13043042"
"Aceites","Finca Lecumberri Noble Lur","No registra","Aceite de oliva virgen calidad extra - Libre de gluten","13039421"
"Aceites","Finca Lecumberri Noble Lur","No registra","Aceite de oliva virgen extra - Orgánico - Libre de gluten","13040989"
"Aceites","Geroliva","No registra","Aceite comestible mezcla - Libre de gluten","02-523635"
"Aceites","Gersoja","No registra","Aceite de soja - Libre de gluten","02-572764"
"Aceites","Gersol","No registra","Aceite de girasol, libre de gluten","02-530869"
"Aceites","Giglio","No registra","Aceite de oliva virgen extra - Orgánico - Libre de gluten","13034463"
"Aceites","Ideal","No registra","Aceite comestible mezcla. Libre de gluten","21-100840"
"Aceites","Ideal","No registra","Aceite de girasol libre de gluten","21-100841"
"Aceites","Ideal","No registra","Aceite de soja libre de gluten","21-100854"
"Aceites","Ideal","No registra","Aceite comestible mezcla libre de gluten","21-102103"
"Aceites","Ideal","No registra","Aceite de girasol libre de gluten","21-102133"
"Aceites","Ideal","No registra","Aceite de soja libre de gluten","21-102134"
"Aceites","Ideal","No registra","Aceite comestible mezcla libre de gluten","21-104666"
"Aceites","Índigo","No registra","Aceite comestible mezcla libre de gluten","21-104412"
"Aceites","Krol","Krol Kids","Aceite de canola virgen libre de gluten","025/08002581-3-7/040"
"Aceites","La Anónima","No registra","Aceite de girasol. Libre de gluten","02-564825"
"Aceites","La Toscana","No registra","Aceite de oliva extra virgen- Libre de gluten","12004149"
"Aceites","Legítimo","No registra","Aceite de girasol - Libre de gluten","02-504972"
"Aceites","Lira","Mezclas especiales","Aceite comestible mezcla libre de gluten","21-100777"
"Aceites","Lira","No registra","Aceite comestible mezcla. Libre de gluten","21-092633"
"Aceites","María Ravida","Frantoio","Aceite de oliva virgen extra - Libre de gluten","13043368"
"Aceites","María Ravida","No registra","Aceite de oliva virgen extra - Libre de gluten","13036989"
"Aceites","María Ravida","No registra","Aceite de oliva virgen extra - Libre de gluten","13042149"
"Aceites","María Ravida","No registra","Aceite de oliva virgen extra - Libre de gluten","13042150"
"Aceites","Mazola","Rocío vegetal","Antiadherente a base de aceite de maíz sabor manteca en aerosol libre de gluten","21-101831"
"Aceites","Mazola","Rocío vegetal","Antiadherente a base de aceite de maíz en aerosol libre de gluten","21-101832"
"Aceites","Mazola","No registra","Aceite de oliva virgen extra - Libre de gluten","4060321"
"Aceites","Mazola","No registra","Aceite de maíz - Libre de gluten","4060325"
"Aceites","Mazola","No registra","Aceite Comestible Mezcla - Libre de Gluten","4062326"
"Aceites","Natreon","No registra","Aceite de girasol con alto contenido de acido oleico libre de gluten","02-519830"
"Aceites","Natura","Clásico","Aceite de oliva virgen extra - Libre de gluten","4060317"
"Aceites","Natura","Intenso","Aceite de oliva virgen extra - Libre de gluten","4060324"
"Aceites","Natura","No registra","Aceite de girasol - Libre de gluten","4060145"
"Aceites","Natura","No registra","Aceite comestible mezcla - Libre de gluten","4060520"
"Aceites","Natura","Rocío vegetal","Antiadherente a base de aceite de girasol en aerosol libre de gluten","21-101833"
"Aceites","Natura","Rocío vegetal","Antiadherente a base de aceite de oliva en aerosol libre de gluten","21-105712"
"Aceites","Natura","Selección especial","Aceite de oliva virgen extra - Libre de gluten","13043229"
"Aceites","No registra","No registra","Aceite de girasol con alto contenido de ácido oleico - libre de gluten","02-593528"
